"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
"Total"	"Indiana"	"18"	"2015"	"2015"			10670	Not Applicable	Not Applicable
	"Indiana"	"18"	"2016"	"2016"	"Feb., 2016"	"2016/02"	5264	Not Applicable	Not Applicable
	"Indiana"	"18"	"2016"	"2016"	"Mar., 2016"	"2016/03"	5750	Not Applicable	Not Applicable
"Total"	"Indiana"	"18"	"2016"	"2016"			11014	Not Applicable	Not Applicable
	"Indiana"	"18"	"2017"	"2017"	"Feb., 2017"	"2017/02"	5562	Not Applicable	Not Applicable
	"Indiana"	"18"	"2017"	"2017"	"Mar., 2017"	"2017/03"	6023	Not Applicable	Not Applicable
"Total"	"Indiana"	"18"	"2017"	"2017"			11585	Not Applicable	Not Applicable
	"Indiana"	"18"	"2018"	"2018"	"Feb., 2018"	"2018/02"	5433	Not Applicable	Not Applicable
	"Indiana"	"18"	"2018"	"2018"	"Mar., 2018"	"2018/03"	5743	Not Applicable	Not Applicable
"Total"	"Indiana"	"18"	"2018"	"2018"			11176	Not Applicable	Not Applicable
"Total"	"Indiana"	"18"					64968	Not Applicable	Not Applicable
	"Iowa"	"19"	"2013"	"2013"	"Feb., 2013"	"2013/02"	2363	Not Applicable	Not Applicable
	"Iowa"	"19"	"2013"	"2013"	"Mar., 2013"	"2013/03"	2578	Not Applicable	Not Applicable
"Total"	"Iowa"	"19"	"2013"	"2013"			4941	Not Applicable	Not Applicable
	"Iowa"	"19"	"2014"	"2014"	"Feb., 2014"	"2014/02"	2348	Not Applicable	Not Applicable
	"Iowa"	"19"	"2014"	"2014"	"Mar., 2014"	"2014/03"	2578	Not Applicable	Not Applicable
"Total"	"Iowa"	"19"	"2014"	"2014"			4926	Not Applicable	Not Applicable
	"Iowa"	"19"	"2015"	"2015"	"Feb., 2015"	"2015/02"	2385	Not Applicable	Not Applicable
	"Iowa"	"19"	"2015"	"2015"	"Mar., 2015"	"2015/03"	2750	Not Applicable	Not Applicable
"Total"	"Iowa"	"19"	"2015"	"2015"			5135	Not Applicable	Not Applicable
	"Iowa"	"19"	"2016"	"2016"	"Feb., 2016"	"2016/02"	2491	Not Applicable	Not Applicable
	"Iowa"	"19"	"2016"	"2016"	"Mar., 2016"	"2016/03"	2479	Not Applicable	Not Applicable
"Total"	"Iowa"	"19"	"2016"	"2016"			4970	Not Applicable	Not Applicable
	"Iowa"	"19"	"2017"	"2017"	"Feb., 2017"	"2017/02"	2565	Not Applicable	Not Applicable
	"Iowa"	"19"	"2017"	"2017"	"Mar., 2017"	"2017/03"	2768	Not Applicable	Not Applicable
"Total"	"Iowa"	"19"	"2017"	"2017"			5333	Not Applicable	Not Applicable
	"Iowa"	"19"	"2018"	"2018"	"Feb., 2018"	"2018/02"	2608	Not Applicable	Not Applicable
	"Iowa"	"19"	"2018"	"2018"	"Mar., 2018"	"2018/03"	2674	Not Applicable	Not Applicable
"Total"	"Iowa"	"19"	"2018"	"2018"			5282	Not Applicable	Not Applicable
"Total"	"Iowa"	"19"					30587	Not Applicable	Not Applicable
	"Kansas"	"20"	"2013"	"2013"	"Feb., 2013"	"2013/02"	2175	Not Applicable	Not Applicable
	"Kansas"	"20"	"2013"	"2013"	"Mar., 2013"	"2013/03"	2217	Not Applicable	Not Applicable
"Total"	"Kansas"	"20"	"2013"	"2013"			4392	Not Applicable	Not Applicable
	"Kansas"	"20"	"2014"	"2014"	"Feb., 2014"	"2014/02"	2089	Not Applicable	Not Applicable
	"Kansas"	"20"	"2014"	"2014"	"Mar., 2014"	"2014/03"	2288	Not Applicable	Not Applicable
"Total"	"Kansas"	"20"	"2014"	"2014"			4377	Not Applicable	Not Applicable
	"Kansas"	"20"	"2015"	"2015"	"Feb., 2015"	"2015/02"	2215	Not Applicable	Not Applicable
	"Kansas"	"20"	"2015"	"2015"	"Mar., 2015"	"2015/03"	2352	Not Applicable	Not Applicable
"Total"	"Kansas"	"20"	"2015"	"2015"			4567	Not Applicable	Not Applicable
	"Kansas"	"20"	"2016"	"2016"	"Feb., 2016"	"2016/02"	2100	Not Applicable	Not Applicable
	"Kansas"	"20"	"2016"	"2016"	"Mar., 2016"	"2016/03"	2265	Not Applicable	Not Applicable
"Total"	"Kansas"	"20"	"2016"	"2016"			4365	Not Applicable	Not Applicable
	"Kansas"	"20"	"2017"	"2017"	"Feb., 2017"	"2017/02"	2308	Not Applicable	Not Applicable
	"Kansas"	"20"	"2017"	"2017"	"Mar., 2017"	"2017/03"	2491	Not Applicable	Not Applicable
"Total"	"Kansas"	"20"	"2017"	"2017"			4799	Not Applicable	Not Applicable
	"Kansas"	"20"	"2018"	"2018"	"Feb., 2018"	"2018/02"	2396	Not Applicable	Not Applicable
	"Kansas"	"20"	"2018"	"2018"	"Mar., 2018"	"2018/03"	2493	Not Applicable	Not Applicable
"Total"	"Kansas"	"20"	"2018"	"2018"			4889	Not Applicable	Not Applicable
"Total"	"Kansas"	"20"					27389	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2013"	"2013"	"Feb., 2013"	"2013/02"	3740	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2013"	"2013"	"Mar., 2013"	"2013/03"	3959	Not Applicable	Not Applicable
"Total"	"Kentucky"	"21"	"2013"	"2013"			7699	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2014"	"2014"	"Feb., 2014"	"2014/02"	3521	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2014"	"2014"	"Mar., 2014"	"2014/03"	3929	Not Applicable	Not Applicable
"Total"	"Kentucky"	"21"	"2014"	"2014"			7450	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2015"	"2015"	"Feb., 2015"	"2015/02"	3900	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2015"	"2015"	"Mar., 2015"	"2015/03"	4086	Not Applicable	Not Applicable
"Total"	"Kentucky"	"21"	"2015"	"2015"			7986	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2016"	"2016"	"Feb., 2016"	"2016/02"	3963	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2016"	"2016"	"Mar., 2016"	"2016/03"	4205	Not Applicable	Not Applicable
"Total"	"Kentucky"	"21"	"2016"	"2016"			8168	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2017"	"2017"	"Feb., 2017"	"2017/02"	4058	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2017"	"2017"	"Mar., 2017"	"2017/03"	4334	Not Applicable	Not Applicable
"Total"	"Kentucky"	"21"	"2017"	"2017"			8392	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2018"	"2018"	"Feb., 2018"	"2018/02"	3973	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2018"	"2018"	"Mar., 2018"	"2018/03"	4279	Not Applicable	Not Applicable
"Total"	"Kentucky"	"21"	"2018"	"2018"			8252	Not Applicable	Not Applicable
"Total"	"Kentucky"	"21"					47947	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2013"	"2013"	"Feb., 2013"	"2013/02"	3450	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2013"	"2013"	"Mar., 2013"	"2013/03"	3907	Not Applicable	Not Applicable
"Total"	"Louisiana"	"22"	"2013"	"2013"			7357	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2014"	"2014"	"Feb., 2014"	"2014/02"	3644	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2014"	"2014"	"Mar., 2014"	"2014/03"	3712	Not Applicable	Not Applicable
"Total"	"Louisiana"	"22"	"2014"	"2014"			7356	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2015"	"2015"	"Feb., 2015"	"2015/02"	3705	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2015"	"2015"	"Mar., 2015"	"2015/03"	3849	Not Applicable	Not Applicable
"Total"	"Louisiana"	"22"	"2015"	"2015"			7554	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2016"	"2016"	"Feb., 2016"	"2016/02"	3634	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2016"	"2016"	"Mar., 2016"	"2016/03"	3890	Not Applicable	Not Applicable
"Total"	"Louisiana"	"22"	"2016"	"2016"			7524	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2017"	"2017"	"Feb., 2017"	"2017/02"	3656	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2017"	"2017"	"Mar., 2017"	"2017/03"	4062	Not Applicable	Not Applicable
"Total"	"Louisiana"	"22"	"2017"	"2017"			7718	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2018"	"2018"	"Feb., 2018"	"2018/02"	3751	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2018"	"2018"	"Mar., 2018"	"2018/03"	3754	Not Applicable	Not Applicable
"Total"	"Louisiana"	"22"	"2018"	"2018"			7505	Not Applicable	Not Applicable
"Total"	"Louisiana"	"22"					45014	Not Applicable	Not Applicable
	"Maine"	"23"	"2013"	"2013"	"Feb., 2013"	"2013/02"	1111	Not Applicable	Not Applicable
	"Maine"	"23"	"2013"	"2013"	"Mar., 2013"	"2013/03"	1181	Not Applicable	Not Applicable
"Total"	"Maine"	"23"	"2013"	"2013"			2292	Not Applicable	Not Applicable
	"Maine"	"23"	"2014"	"2014"	"Feb., 2014"	"2014/02"	1058	Not Applicable	Not Applicable
	"Maine"	"23"	"2014"	"2014"	"Mar., 2014"	"2014/03"	1256	Not Applicable	Not Applicable
"Total"	"Maine"	"23"	"2014"	"2014"			2314	Not Applicable	Not Applicable
	"Maine"	"23"	"2015"	"2015"	"Feb., 2015"	"2015/02"	1277	Not Applicable	Not Applicable
	"Maine"	"23"	"2015"	"2015"	"Mar., 2015"	"2015/03"	1316	Not Applicable	Not Applicable
"Total"	"Maine"	"23"	"2015"	"2015"			2593	Not Applicable	Not Applicable
	"Maine"	"23"	"2016"	"2016"	"Feb., 2016"	"2016/02"	1096	Not Applicable	Not Applicable
	"Maine"	"23"	"2016"	"2016"	"Mar., 2016"	"2016/03"	1256	Not Applicable	Not Applicable
"Total"	"Maine"	"23"	"2016"	"2016"			2352	Not Applicable	Not Applicable
	"Maine"	"23"	"2017"	"2017"	"Feb., 2017"	"2017/02"	1187	Not Applicable	Not Applicable
	"Maine"	"23"	"2017"	"2017"	"Mar., 2017"	"2017/03"	1356	Not Applicable	Not Applicable
"Total"	"Maine"	"23"	"2017"	"2017"			2543	Not Applicable	Not Applicable
	"Maine"	"23"	"2018"	"2018"	"Feb., 2018"	"2018/02"	1230	Not Applicable	Not Applicable
	"Maine"	"23"	"2018"	"2018"	"Mar., 2018"	"2018/03"	1273	Not Applicable	Not Applicable
"Total"	"Maine"	"23"	"2018"	"2018"			2503	Not Applicable	Not Applicable
"Total"	"Maine"	"23"					14597	Not Applicable	Not Applicable
	"Maryland"	"24"	"2013"	"2013"	"Feb., 2013"	"2013/02"	3817	Not Applicable	Not Applicable
	"Maryland"	"24"	"2013"	"2013"	"Mar., 2013"	"2013/03"	4112	Not Applicable	Not Applicable
"Total"	"Maryland"	"24"	"2013"	"2013"			7929	Not Applicable	Not Applicable
	"Maryland"	"24"	"2014"	"2014"	"Feb., 2014"	"2014/02"	3821	Not Applicable	Not Applicable
	"Maryland"	"24"	"2014"	"2014"	"Mar., 2014"	"2014/03"	4011	Not Applicable	Not Applicable
"Total"	"Maryland"	"24"	"2014"	"2014"			7832	Not Applicable	Not Applicable
	"Maryland"	"24"	"2015"	"2015"	"Feb., 2015"	"2015/02"	3942	Not Applicable	Not Applicable
	"Maryland"	"24"	"2015"	"2015"	"Mar., 2015"	"2015/03"	4117	Not Applicable	Not Applicable
"Total"	"Maryland"	"24"	"2015"	"2015"			8059	Not Applicable	Not Applicable
	"Maryland"	"24"	"2016"	"2016"	"Feb., 2016"	"2016/02"	4034	Not Applicable	Not Applicable
	"Maryland"	"24"	"2016"	"2016"	"Mar., 2016"	"2016/03"	4158	Not Applicable	Not Applicable
"Total"	"Maryland"	"24"	"2016"	"2016"			8192	Not Applicable	Not Applicable
	"Maryland"	"24"	"2017"	"2017"	"Feb., 2017"	"2017/02"	4231	Not Applicable	Not Applicable
	"Maryland"	"24"	"2017"	"2017"	"Mar., 2017"	"2017/03"	4408	Not Applicable	Not Applicable
"Total"	"Maryland"	"24"	"2017"	"2017"			8639	Not Applicable	Not Applicable
	"Maryland"	"24"	"2018"	"2018"	"Feb., 2018"	"2018/02"	4248	Not Applicable	Not Applicable
	"Maryland"	"24"	"2018"	"2018"	"Mar., 2018"	"2018/03"	4420	Not Applicable	Not Applicable
"Total"	"Maryland"	"24"	"2018"	"2018"			8668	Not Applicable	Not Applicable
"Total"	"Maryland"	"24"					49319	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2013"	"2013"	"Feb., 2013"	"2013/02"	4663	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2013"	"2013"	"Mar., 2013"	"2013/03"	4667	Not Applicable	Not Applicable
"Total"	"Massachusetts"	"25"	"2013"	"2013"			9330	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2014"	"2014"	"Feb., 2014"	"2014/02"	4607	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2014"	"2014"	"Mar., 2014"	"2014/03"	5003	Not Applicable	Not Applicable
"Total"	"Massachusetts"	"25"	"2014"	"2014"			9610	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2015"	"2015"	"Feb., 2015"	"2015/02"	5232	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2015"	"2015"	"Mar., 2015"	"2015/03"	5361	Not Applicable	Not Applicable
"Total"	"Massachusetts"	"25"	"2015"	"2015"			10593	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2016"	"2016"	"Feb., 2016"	"2016/02"	4828	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2016"	"2016"	"Mar., 2016"	"2016/03"	5115	Not Applicable	Not Applicable
"Total"	"Massachusetts"	"25"	"2016"	"2016"			9943	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2017"	"2017"	"Feb., 2017"	"2017/02"	5199	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2017"	"2017"	"Mar., 2017"	"2017/03"	5279	Not Applicable	Not Applicable
"Total"	"Massachusetts"	"25"	"2017"	"2017"			10478	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2018"	"2018"	"Feb., 2018"	"2018/02"	4965	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2018"	"2018"	"Mar., 2018"	"2018/03"	5224	Not Applicable	Not Applicable
"Total"	"Massachusetts"	"25"	"2018"	"2018"			10189	Not Applicable	Not Applicable
"Total"	"Massachusetts"	"25"					60143	Not Applicable	Not Applicable
	"Michigan"	"26"	"2013"	"2013"	"Feb., 2013"	"2013/02"	7987	Not Applicable	Not Applicable
	"Michigan"	"26"	"2013"	"2013"	"Mar., 2013"	"2013/03"	8297	Not Applicable	Not Applicable
"Total"	"Michigan"	"26"	"2013"	"2013"			16284	Not Applicable	Not Applicable
	"Michigan"	"26"	"2014"	"2014"	"Feb., 2014"	"2014/02"	7436	Not Applicable	Not Applicable
	"Michigan"	"26"	"2014"	"2014"	"Mar., 2014"	"2014/03"	8111	Not Applicable	Not Applicable
"Total"	"Michigan"	"26"	"2014"	"2014"			15547	Not Applicable	Not Applicable
	"Michigan"	"26"	"2015"	"2015"	"Feb., 2015"	"2015/02"	7714	Not Applicable	Not Applicable
	"Michigan"	"26"	"2015"	"2015"	"Mar., 2015"	"2015/03"	8640	Not Applicable	Not Applicable
"Total"	"Michigan"	"26"	"2015"	"2015"			16354	Not Applicable	Not Applicable
	"Michigan"	"26"	"2016"	"2016"	"Feb., 2016"	"2016/02"	8035	Not Applicable	Not Applicable
	"Michigan"	"26"	"2016"	"2016"	"Mar., 2016"	"2016/03"	8509	Not Applicable	Not Applicable
"Total"	"Michigan"	"26"	"2016"	"2016"			16544	Not Applicable	Not Applicable
	"Michigan"	"26"	"2017"	"2017"	"Feb., 2017"	"2017/02"	8067	Not Applicable	Not Applicable
	"Michigan"	"26"	"2017"	"2017"	"Mar., 2017"	"2017/03"	8957	Not Applicable	Not Applicable
"Total"	"Michigan"	"26"	"2017"	"2017"			17024	Not Applicable	Not Applicable
	"Michigan"	"26"	"2018"	"2018"	"Feb., 2018"	"2018/02"	8420	Not Applicable	Not Applicable
	"Michigan"	"26"	"2018"	"2018"	"Mar., 2018"	"2018/03"	8830	Not Applicable	Not Applicable
"Total"	"Michigan"	"26"	"2018"	"2018"			17250	Not Applicable	Not Applicable
"Total"	"Michigan"	"26"					99003	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2013"	"2013"	"Feb., 2013"	"2013/02"	3292	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2013"	"2013"	"Mar., 2013"	"2013/03"	3567	Not Applicable	Not Applicable
"Total"	"Minnesota"	"27"	"2013"	"2013"			6859	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2014"	"2014"	"Feb., 2014"	"2014/02"	3205	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2014"	"2014"	"Mar., 2014"	"2014/03"	3636	Not Applicable	Not Applicable
"Total"	"Minnesota"	"27"	"2014"	"2014"			6841	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2015"	"2015"	"Feb., 2015"	"2015/02"	3391	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2015"	"2015"	"Mar., 2015"	"2015/03"	3870	Not Applicable	Not Applicable
"Total"	"Minnesota"	"27"	"2015"	"2015"			7261	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2016"	"2016"	"Feb., 2016"	"2016/02"	3509	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2016"	"2016"	"Mar., 2016"	"2016/03"	3736	Not Applicable	Not Applicable
"Total"	"Minnesota"	"27"	"2016"	"2016"			7245	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2017"	"2017"	"Feb., 2017"	"2017/02"	3698	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2017"	"2017"	"Mar., 2017"	"2017/03"	3939	Not Applicable	Not Applicable
"Total"	"Minnesota"	"27"	"2017"	"2017"			7637	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2018"	"2018"	"Feb., 2018"	"2018/02"	3710	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2018"	"2018"	"Mar., 2018"	"2018/03"	3777	Not Applicable	Not Applicable
"Total"	"Minnesota"	"27"	"2018"	"2018"			7487	Not Applicable	Not Applicable
"Total"	"Minnesota"	"27"					43330	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Feb., 2013"	"2013/02"	2498	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Mar., 2013"	"2013/03"	2819	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2013"	"2013"			5317	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Feb., 2014"	"2014/02"	2479	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Mar., 2014"	"2014/03"	2611	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2014"	"2014"			5090	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Feb., 2015"	"2015/02"	2743	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Mar., 2015"	"2015/03"	2841	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2015"	"2015"			5584	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Feb., 2016"	"2016/02"	2600	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Mar., 2016"	"2016/03"	2811	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2016"	"2016"			5411	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"Feb., 2017"	"2017/02"	2623	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"Mar., 2017"	"2017/03"	2839	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2017"	"2017"			5462	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"Feb., 2018"	"2018/02"	2648	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	"Mar., 2018"	"2018/03"	2742	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2018"	"2018"			5390	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"					32254	Not Applicable	Not Applicable
	"Missouri"	"29"	"2013"	"2013"	"Feb., 2013"	"2013/02"	4817	Not Applicable	Not Applicable
	"Missouri"	"29"	"2013"	"2013"	"Mar., 2013"	"2013/03"	5197	Not Applicable	Not Applicable
"Total"	"Missouri"	"29"	"2013"	"2013"			10014	Not Applicable	Not Applicable
	"Missouri"	"29"	"2014"	"2014"	"Feb., 2014"	"2014/02"	4528	Not Applicable	Not Applicable
	"Missouri"	"29"	"2014"	"2014"	"Mar., 2014"	"2014/03"	5178	Not Applicable	Not Applicable
"Total"	"Missouri"	"29"	"2014"	"2014"			9706	Not Applicable	Not Applicable
	"Missouri"	"29"	"2015"	"2015"	"Feb., 2015"	"2015/02"	5054	Not Applicable	Not Applicable
	"Missouri"	"29"	"2015"	"2015"	"Mar., 2015"	"2015/03"	5485	Not Applicable	Not Applicable
"Total"	"Missouri"	"29"	"2015"	"2015"			10539	Not Applicable	Not Applicable
	"Missouri"	"29"	"2016"	"2016"	"Feb., 2016"	"2016/02"	4854	Not Applicable	Not Applicable
	"Missouri"	"29"	"2016"	"2016"	"Mar., 2016"	"2016/03"	5220	Not Applicable	Not Applicable
"Total"	"Missouri"	"29"	"2016"	"2016"			10074	Not Applicable	Not Applicable
	"Missouri"	"29"	"2017"	"2017"	"Feb., 2017"	"2017/02"	5280	Not Applicable	Not Applicable
	"Missouri"	"29"	"2017"	"2017"	"Mar., 2017"	"2017/03"	5604	Not Applicable	Not Applicable
"Total"	"Missouri"	"29"	"2017"	"2017"			10884	Not Applicable	Not Applicable
	"Missouri"	"29"	"2018"	"2018"	"Feb., 2018"	"2018/02"	5418	Not Applicable	Not Applicable
	"Missouri"	"29"	"2018"	"2018"	"Mar., 2018"	"2018/03"	5527	Not Applicable	Not Applicable
"Total"	"Missouri"	"29"	"2018"	"2018"			10945	Not Applicable	Not Applicable
"Total"	"Missouri"	"29"					62162	Not Applicable	Not Applicable
	"Montana"	"30"	"2013"	"2013"	"Feb., 2013"	"2013/02"	771	Not Applicable	Not Applicable
	"Montana"	"30"	"2013"	"2013"	"Mar., 2013"	"2013/03"	855	Not Applicable	Not Applicable
"Total"	"Montana"	"30"	"2013"	"2013"			1626	Not Applicable	Not Applicable
	"Montana"	"30"	"2014"	"2014"	"Feb., 2014"	"2014/02"	742	Not Applicable	Not Applicable
	"Montana"	"30"	"2014"	"2014"	"Mar., 2014"	"2014/03"	843	Not Applicable	Not Applicable
"Total"	"Montana"	"30"	"2014"	"2014"			1585	Not Applicable	Not Applicable
	"Montana"	"30"	"2015"	"2015"	"Feb., 2015"	"2015/02"	748	Not Applicable	Not Applicable
	"Montana"	"30"	"2015"	"2015"	"Mar., 2015"	"2015/03"	827	Not Applicable	Not Applicable
"Total"	"Montana"	"30"	"2015"	"2015"			1575	Not Applicable	Not Applicable
	"Montana"	"30"	"2016"	"2016"	"Feb., 2016"	"2016/02"	831	Not Applicable	Not Applicable
	"Montana"	"30"	"2016"	"2016"	"Mar., 2016"	"2016/03"	832	Not Applicable	Not Applicable
"Total"	"Montana"	"30"	"2016"	"2016"			1663	Not Applicable	Not Applicable
	"Montana"	"30"	"2017"	"2017"	"Feb., 2017"	"2017/02"	918	Not Applicable	Not Applicable
	"Montana"	"30"	"2017"	"2017"	"Mar., 2017"	"2017/03"	929	Not Applicable	Not Applicable
"Total"	"Montana"	"30"	"2017"	"2017"			1847	Not Applicable	Not Applicable
	"Montana"	"30"	"2018"	"2018"	"Feb., 2018"	"2018/02"	837	Not Applicable	Not Applicable
	"Montana"	"30"	"2018"	"2018"	"Mar., 2018"	"2018/03"	845	Not Applicable	Not Applicable
"Total"	"Montana"	"30"	"2018"	"2018"			1682	Not Applicable	Not Applicable
"Total"	"Montana"	"30"					9978	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2013"	"2013"	"Feb., 2013"	"2013/02"	1344	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2013"	"2013"	"Mar., 2013"	"2013/03"	1372	Not Applicable	Not Applicable
"Total"	"Nebraska"	"31"	"2013"	"2013"			2716	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2014"	"2014"	"Feb., 2014"	"2014/02"	1328	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2014"	"2014"	"Mar., 2014"	"2014/03"	1428	Not Applicable	Not Applicable
"Total"	"Nebraska"	"31"	"2014"	"2014"			2756	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2015"	"2015"	"Feb., 2015"	"2015/02"	1409	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2015"	"2015"	"Mar., 2015"	"2015/03"	1536	Not Applicable	Not Applicable
"Total"	"Nebraska"	"31"	"2015"	"2015"			2945	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2016"	"2016"	"Feb., 2016"	"2016/02"	1268	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2016"	"2016"	"Mar., 2016"	"2016/03"	1376	Not Applicable	Not Applicable
"Total"	"Nebraska"	"31"	"2016"	"2016"			2644	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2017"	"2017"	"Feb., 2017"	"2017/02"	1478	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2017"	"2017"	"Mar., 2017"	"2017/03"	1444	Not Applicable	Not Applicable
"Total"	"Nebraska"	"31"	"2017"	"2017"			2922	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2018"	"2018"	"Feb., 2018"	"2018/02"	1385	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2018"	"2018"	"Mar., 2018"	"2018/03"	1538	Not Applicable	Not Applicable
"Total"	"Nebraska"	"31"	"2018"	"2018"			2923	Not Applicable	Not Applicable
"Total"	"Nebraska"	"31"					16906	Not Applicable	Not Applicable
	"Nevada"	"32"	"2013"	"2013"	"Feb., 2013"	"2013/02"	1856	Not Applicable	Not Applicable
	"Nevada"	"32"	"2013"	"2013"	"Mar., 2013"	"2013/03"	1935	Not Applicable	Not Applicable
"Total"	"Nevada"	"32"	"2013"	"2013"			3791	Not Applicable	Not Applicable
	"Nevada"	"32"	"2014"	"2014"	"Feb., 2014"	"2014/02"	1780	Not Applicable	Not Applicable
	"Nevada"	"32"	"2014"	"2014"	"Mar., 2014"	"2014/03"	1912	Not Applicable	Not Applicable
"Total"	"Nevada"	"32"	"2014"	"2014"			3692	Not Applicable	Not Applicable
	"Nevada"	"32"	"2015"	"2015"	"Feb., 2015"	"2015/02"	1777	Not Applicable	Not Applicable
	"Nevada"	"32"	"2015"	"2015"	"Mar., 2015"	"2015/03"	2061	Not Applicable	Not Applicable
"Total"	"Nevada"	"32"	"2015"	"2015"			3838	Not Applicable	Not Applicable
	"Nevada"	"32"	"2016"	"2016"	"Feb., 2016"	"2016/02"	2073	Not Applicable	Not Applicable
	"Nevada"	"32"	"2016"	"2016"	"Mar., 2016"	"2016/03"	2115	Not Applicable	Not Applicable
"Total"	"Nevada"	"32"	"2016"	"2016"			4188	Not Applicable	Not Applicable
	"Nevada"	"32"	"2017"	"2017"	"Feb., 2017"	"2017/02"	1990	Not Applicable	Not Applicable
	"Nevada"	"32"	"2017"	"2017"	"Mar., 2017"	"2017/03"	2158	Not Applicable	Not Applicable
"Total"	"Nevada"	"32"	"2017"	"2017"			4148	Not Applicable	Not Applicable
